unique_id,metric,AutoARIMA,AutoETS,CES,AutoRegressive,MSTL,HoltWinters,AutoTheta,ADIDA,CrostonClassic,CrostonOptimized,CrostonSBA,IMAPA,SES,SESOpt,NHITS,NBEATS,TFT,TiDE,DeepAR,DeepAR-median,DeepAR-lo-90,DeepAR-lo-80,DeepAR-hi-80,DeepAR-hi-90,AutoNHITS,AutoPatchTST,AutoTimesNet,Chronos_tiny,Chronos_mini,Chronos_small
11_1412_53,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11_1501_53,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12_1151_53,smape,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.9999999997456348,1.0,0.9999999505414943,0.999999997905991,0.9999999967554267,0.9999999992518223,1.0,1.0,0.9999999232178378,0.9999998992098076,0.9999999987039291,1.0,1.0,0.9999999999999925,0.9999999999999925,0.9999999999999925
12_1201_53,smape,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12_1205_53,smape,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999919707952947,0.9999976556241161,0.9993272263133879,0.9997099095012185,0.9999474005306477,0.9998470297321973,1.0,1.0,0.9987060809907731,0.9983333359858955,0.9999887758562163,0.9999999493455222,1.0,0.9999999998976962,0.9999999998976962,0.9999999998976962
12_1407_53,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13_1000_58,smape,0.12678054233398256,0.07096609902344014,0.07573827094119696,0.0807141351069758,0.25116420634469305,0.25118742293827623,0.13270113254315036,0.11629070784720266,0.6752186029183292,0.1396587852094814,0.6887957519230232,0.09648645953647697,0.07118954430434833,0.07096609902344014,0.07368026508760718,0.06318787044921036,0.08508116324865966,0.13483899988056158,0.09012473628754657,0.09239009400257082,0.11602171814802155,0.1078086838518491,0.17400822962613471,0.19506331769863255,0.19747873739391017,0.07096609910782746,0.07096609910782746,0.07149679635228448,0.07149679635228448,0.07149679635228448
13_1000_78,smape,0.37409296073484144,0.3740531209836352,0.32525249420239466,0.4192341214527486,0.30739755211086855,0.3049748265530991,0.33257720566630977,0.3304627767801361,0.8318888015102265,0.42568803910788333,0.8359238942723446,0.280063509497617,0.2839843692168784,0.3701186870395486,0.39001961773515964,0.41492857599875466,0.8445750321132421,0.39643366276059155,0.8251459951853037,0.8294866393674959,0.8840848253014031,0.8808926937666548,0.778174168332702,0.76570430183043,0.39554924533443186,0.33323085454231377,0.4218619729944241,0.6763949311950588,0.44443968224638186,0.8176374632105824
13_1100_53,smape,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999997749937775,0.9999995626972412,0.999964940410671,0.9999914411474401,0.9999978595576103,0.9999968353434012,1.0,1.0,0.9999237118706477,0.9999047640643206,0.9999996526937301,0.9999999989609337,1.0,0.9999999999947298,0.9999999999947298,0.9999999999947298
13_1201_53,smape,0.8233617552183445,0.8291989187156334,0.8739183021886359,0.8108606742954887,0.923615112450222,0.93493373125809,0.8443764784534683,0.8139329385035325,0.8013003660908694,0.8709108582800488,0.795127551724124,0.8139329385035325,0.8156464042231532,0.8139327173873637,0.9833046522148106,1.0,1.0,0.7533798382668027,1.0,1.0,1.0,1.0,0.9222248949404753,0.9155291294862975,1.0,0.775663928774185,0.9471288392504792,0.9999999865548308,0.9999999865548308,0.9999999865548308
