unique_id,ds,y,AutoARIMA,AutoETS,CES,AutoRegressive,MSTL,HoltWinters,AutoTheta,ADIDA,CrostonClassic,CrostonOptimized,CrostonSBA,IMAPA,SES,SESOpt,NHITS,NBEATS,TFT,TiDE,DeepAR,DeepAR-median,DeepAR-lo-90,DeepAR-lo-80,DeepAR-hi-80,DeepAR-hi-90,AutoNHITS,AutoPatchTST,AutoTimesNet,Chronos_tiny,Chronos_mini,Chronos_small
6_1203_14,2023-12-01,2771361.611579251,764017.8432940529,1120178.1198681213,892140.3125,2166668.6610720423,7665001.768200781,9433988.845213672,1121627.100556625,1999447.2966649274,2709362.002703532,1999447.2966649274,2573893.902568355,1999447.2966649274,1417936.0421073944,1121627.9753879127,1118742.1,1175134.9,866817.4,4686728.5,837324.5,810720.1,595867.9,667687.8,1008898.4,1110235.6,1343842.1,1114016.0,1221601.4,1172666.125,673197.25,1107518.0
6_1203_14,2024-01-01,2330687.112613798,672528.6985125324,1120178.1198681213,1013876.0625,2360860.1619888023,5682734.254121353,6882112.165349875,1121627.100556625,1999447.2966649274,2709362.002703532,1999447.2966649274,2573893.902568355,1999447.2966649274,1417936.0421073944,1121627.9753879127,1097623.1,1132987.6,871622.75,716857.6,776942.0,755140.6,495038.6,580519.3,926975.75,962112.7,1342036.1,1121628.8,1136487.8,1585271.0,912073.6875,1454974.625
6_1205_14,2023-10-01,10872985.384515228,27718459.79144592,26481440.2091994,27146918.0,25736268.843242258,26549958.011707693,19651016.499970824,28396208.490352828,22894994.21868984,13542035.431956006,22894994.21868984,12864933.660358205,22894994.21868984,25569296.660576485,26489792.20226793,26260072.0,26840100.0,29281068.0,25510444.0,30129082.0,30620348.0,8831801.0,13291660.0,45770160.0,47201916.0,27885464.0,26566876.0,25929548.0,26048086.0,26868500.0,27825648.0
6_1205_14,2023-11-01,12406853.154999992,28955565.39767835,26481440.2091994,27775100.0,25023542.564706802,27369181.085789856,19373459.684849553,29825598.40721257,22894994.21868984,13542035.431956006,22894994.21868984,12864933.660358205,22894994.21868984,25569296.660576485,26489792.20226793,25952760.0,26422374.0,31108724.0,17696240.0,33412936.0,33211384.0,20740966.0,23326176.0,42259276.0,45705950.0,30090932.0,26518436.0,25603914.0,24885838.0,27278706.0,27894014.0
6_1205_14,2023-12-01,26967564.018094655,30192671.00391078,26481440.2091994,28301168.0,24341769.99517662,27361071.591841053,19695808.50301619,31254988.324072313,22894994.21868984,13542035.431956006,22894994.21868984,12864933.660358205,22894994.21868984,25569296.660576485,26489792.20226793,25602478.0,23160248.0,31694204.0,19525374.0,36857440.0,35911630.0,25638098.0,30054262.0,42814840.0,45264668.0,35275252.0,26459656.0,24862040.0,25090940.0,27894014.0,26526660.0
6_1205_14,2024-01-01,23476694.67969707,31429776.61014321,26481440.2091994,28932728.0,23689606.814777397,42057231.07130373,35354232.6599413,32684378.240932055,22894994.21868984,13542035.431956006,22894994.21868984,12864933.660358205,22894994.21868984,25569296.660576485,26489792.20226793,25545220.0,23755776.0,31862068.0,16761942.0,40004212.0,40544190.0,34386856.0,34739916.0,45400040.0,46389308.0,34146504.0,26486356.0,24441684.0,24749102.0,27825648.0,25774616.0
6_1205_2,2023-10-01,13805.80614622938,42252.689940469136,45039.56471707317,41398.75390625,39501.26886901868,34952.78828580971,41849.53356479972,48709.63871665661,40952.81095076761,28422.447357690984,40952.81095076761,27001.324989806435,40952.81095076761,42315.44091789163,41903.5023049345,42416.234,42254.16,44537.883,45964.39,43986.113,47376.266,7438.6396,23964.904,77323.836,88033.34,67028.37,42390.848,40896.562,39285.62890625,41233.67578125,37337.58203125
6_1205_2,2023-11-01,27832.792905416914,42252.689940469136,47826.58267316627,36376.80078125,37143.149403231495,31194.969518637772,42602.732105165254,51139.582457344135,40952.81095076761,28422.447357690984,40952.81095076761,27001.324989806435,40952.81095076761,42315.44091789163,41903.5023049345,42214.79,42245.188,46652.453,36171.363,46944.566,49329.703,11727.003,23620.361,67586.734,77947.33,68126.72,42312.57,41543.44,40584.328125,33766.16015625,31168.76171875
6_1205_2,2023-12-01,13396.711923075074,42252.689940469136,50613.60062925936,36301.359375,35122.1110850242,27004.132087127946,41323.678029064424,53569.52619803167,40952.81095076761,28422.447357690984,40952.81095076761,27001.324989806435,40952.81095076761,42315.44091789163,41903.5023049345,42049.92,41601.152,47960.914,34726.047,50170.984,51116.58,29444.334,35158.75,64369.176,68462.914,68634.22,42217.72,42193.99,41883.0234375,25973.96875,25649.29296875
6_1205_2,2024-01-01,9613.264690034812,42252.689940469136,53400.61858535245,32765.21875,33389.96988398512,37763.79287344159,54385.82665783696,55999.4699387192,40952.81095076761,28422.447357690984,40952.81095076761,27001.324989806435,40952.81095076761,42315.44091789163,41903.5023049345,42044.555,41850.836,48404.43,30440.938,53293.348,52128.14,41874.918,43496.098,62400.414,67704.31,66978.23,42260.883,42790.03,38798.6171875,19480.4765625,17857.103515625
6_1302_14,2023-10-01,28405434.907014668,5278342.517123425,5276995.631206035,5530434.0,4796736.87384459,4609305.610087979,4180690.833949614,5303617.29677316,5804610.81961451,5510147.211989542,5804610.81961451,5234639.851390064,5804610.81961451,6298769.490931306,5896581.851513652,7671331.0,7660245.0,7812887.0,5713909.5,6798855.5,7051371.0,-2078396.0,1894237.8,11062049.0,12544366.0,9060346.0,7541908.0,5554852.0,6346394.5,4798493.5,5572444.0
6_1302_14,2023-11-01,28933753.572527062,5278342.517123425,5276995.631206035,5557083.5,5305921.694929346,4383787.655184963,4141851.2818868584,5303617.29677316,5804610.81961451,5510147.211989542,5804610.81961451,5234639.851390064,5804610.81961451,6298769.490931306,5896581.851513652,7672824.0,7654367.5,7770996.0,5674365.5,7085505.0,7502842.0,2345723.5,3929753.8,10848518.0,11562863.0,9082596.0,6700159.0,5384702.5,5920721.5,4140635.5,5572444.0
6_1302_14,2023-12-01,28987399.761359423,5278342.517123425,5276995.631206035,5576554.0,5215508.514855117,4676264.93880932,4203429.246069107,5303617.29677316,5804610.81961451,5510147.211989542,5804610.81961451,5234639.851390064,5804610.81961451,6298769.490931306,5896581.851513652,7663107.5,7661430.0,7762530.5,5075030.5,7200868.0,7013662.0,4119092.8,4874919.5,9969847.0,10543094.0,10046354.0,6946594.0,5274246.0,6230302.0,4450215.5,5611141.5
6_1302_14,2024-01-01,35210548.27684819,5278342.517123425,5276995.631206035,5594813.0,5231562.6916346215,5797463.583899057,5711912.8445542585,5303617.29677316,5804610.81961451,5510147.211989542,5804610.81961451,5234639.851390064,5804610.81961451,6298769.490931306,5896581.851513652,7656556.0,7646829.0,7758081.0,4671591.0,7267309.0,7205404.5,4942912.0,5377967.5,8894651.0,9340572.0,8457736.0,6861040.5,5270517.0,6617277.0,5224166.0,4953283.5
6_1304_16,2023-10-01,286.81551029939254,0.0,21.90791429376185,11066.6435546875,38255.241273202584,5843.8388234267,-116549.38704824886,-413.59237754801876,10422.476353490798,10423.027642795154,10422.476353490798,9901.876260655396,10422.476353490798,143.19303178008096,6344.636932778453,22.027344,20.057598,22.543087,220.5307,50.355164,48.932552,-63.479706,-39.025055,181.21043,226.91696,-80.7648,22.810226,74.74237,5875.94091796875,0.0005089328624308109,0.0005089328624308109
6_1304_16,2023-11-01,289.5128348476627,0.0,21.90791429376185,10826.5732421875,36339.418220160864,-11515.09060608031,-84030.56315772916,-847.0820749810924,10422.476353490798,10423.027642795154,10422.476353490798,9901.876260655396,10422.476353490798,143.19303178008096,6344.636932778453,20.582205,22.98555,22.806814,127.668945,55.312153,42.878098,-161.95107,-95.503845,195.80595,211.79198,-67.51727,22.113174,75.11805,801.26513671875,0.0005089328624308109,0.0005089328624308109
6_1304_16,2023-12-01,554.749748760894,0.0,21.90791429376185,11070.822265625,36435.416817041085,8939.16811582939,-120191.77735544159,-1280.5717724141662,10422.476353490798,10423.027642795154,10422.476353490798,9901.876260655396,10422.476353490798,143.19303178008096,6344.636932778453,21.614443,22.30355,22.835348,213.71959,56.016773,41.46315,-155.54544,-69.652275,136.5495,196.09192,-56.811356,21.265038,74.51637,801.26513671875,0.0005089328624308109,0.0005089328624308109
6_1304_16,2024-01-01,21.578596386161195,0.0,21.90791429376185,11386.3212890625,36430.60649252372,-50378.401917891875,-123061.81515423625,-1714.0614698472398,10422.476353490798,10423.027642795154,10422.476353490798,9901.876260655396,10422.476353490798,143.19303178008096,6344.636932778453,23.913649,35.946632,22.752909,109.59018,56.40762,51.946438,-44.25265,-27.664377,147.50996,186.44954,-24.858284,21.648766,67.404144,267.0887145996094,0.0005089328624308109,0.0005089328624308109
6_1400_14,2023-10-01,12474.226927566684,12474.226927566684,12472.979556517128,10765.5888671875,174234.6245394461,-1820442.6541024172,-4673166.821340781,-397987.3314571375,156487.1866458976,2165731.489951823,170729.72227538296,2057444.9154542317,156487.1866458976,20064.450304598126,12349.944821203695,9625.219,13161.9375,-72173.41,-31233.156,-18886.5,-7474.6963,-163299.03,-116016.5,67036.766,93446.77,9575.875,19235.844,10539.336,22713.607421875,249849.25,22713.607421875
6_1400_14,2023-11-01,12474.226927566684,12474.226927566684,12472.979556517128,10437.0458984375,327515.00187821966,-1417305.6462133678,-4363445.553775714,-804221.3158098422,156487.1866458976,2165731.489951823,170729.72227538296,2057444.9154542317,156487.1866458976,20064.450304598126,12349.944821203695,8079.4375,5392.875,-91539.59,-180566.94,-45512.25,-31961.492,-167212.31,-121981.43,41796.92,64369.023,3555.0,15410.406,12517.852,22713.607421875,1658090.375,635979.875
6_1400_14,2023-12-01,12474.226927566684,12474.226927566684,12472.979556517128,10695.6748046875,472759.9099272797,-2473274.56087478,-5481301.328266248,-1210455.3001625468,156487.1866458976,2165731.489951823,170729.72227538296,2057444.9154542317,156487.1866458976,20064.450304598126,12349.944821203695,2823.75,6300.1562,-86309.0,-24666.062,-76598.56,-77122.11,-186926.86,-159923.08,32870.293,47596.69,13451.375,10767.3125,10917.992,90854.296875,3679597.75,2475778.5
6_1400_14,2024-01-01,12474.226927566684,12474.226927566684,12472.979556517128,10484.6953125,610390.5948228044,-3082445.166424432,-5431867.968728415,-1616689.2845152516,156487.1866458976,2165731.489951823,170729.72227538296,2057444.9154542317,156487.1866458976,20064.450304598126,12349.944821203695,182.75,6079.5,-85270.53,207973.28,-105877.56,-98136.47,-241599.56,-208091.9,-12810.294,43685.105,11897.0,12870.5,9614.773,340703.53125,6155376.0,3497889.0
6_1403_2,2023-10-01,43460.1922299114,20056.223603436178,30117.87987310028,20306.33984375,33063.14099246853,-835.6410315556168,58.295705277346315,16752.834191286725,19886.847678776892,27205.819981197797,19886.847678776892,25845.528982137905,19886.847678776892,21753.661016766866,26739.279763622817,28932.0,29153.596,36375.902,13555.121,28625.951,28427.168,19365.756,22771.322,34446.184,38809.945,27726.781,27908.59,29517.969,14628.1650390625,0.0005574752576649189,57927.53515625
6_1403_2,2023-11-01,0.8991081827567164,13883.323694235927,31830.173157474,12825.662109375,35292.71418678282,-988.5491375948914,-25298.12676395745,15363.226296974317,19886.847678776892,27205.819981197797,19886.847678776892,25845.528982137905,19886.847678776892,21753.661016766866,26739.279763622817,29026.746,29293.158,37779.68,-4484.6523,31009.201,31573.83,22851.46,23742.615,37410.89,41497.93,27570.88,20593.234,29470.312,14628.1650390625,0.0005574752576649189,12287.658203125
6_1403_2,2023-12-01,0.8991081827567164,9610.317505929179,33542.466441847726,13020.6962890625,36508.30111392418,-7675.402469167722,-37210.49485842214,13973.618402661912,19886.847678776892,27205.819981197797,19886.847678776892,25845.528982137905,19886.847678776892,21753.661016766866,26739.279763622817,29068.434,29392.48,37086.426,2362.5508,32366.303,32640.012,24671.742,26243.234,39247.48,39982.04,27827.133,22736.818,27590.58,14628.1650390625,0.0005574752576649189,12287.658203125
6_1403_2,2024-01-01,0.8991081827567164,6652.45618404144,35254.75972622145,10891.212890625,37171.051985348895,-27721.74651750959,-62421.081672456465,12584.010508349504,19886.847678776892,27205.819981197797,19886.847678776892,25845.528982137905,19886.847678776892,21753.661016766866,26739.279763622817,28991.58,29211.584,35587.984,7687.4854,33583.895,32602.363,24703.55,25843.283,38851.61,39832.01,27786.887,21993.406,25400.684,24867.87890625,0.0005574752576649189,12287.658203125
6_1405_14,2023-10-01,88328.38787401983,79483.58407727465,88328.38787401983,33281.4375,83835.95216878364,169795.47529204565,-248453.8587981921,88328.387873993,84888.46442691691,247700.58008523856,84888.46442691691,235315.5510809766,84888.46442691691,87780.6953788495,88328.3878739929,88689.99,89042.43,95749.62,88056.836,99827.0,98409.66,62166.97,75691.164,119937.93,124087.195,90139.55,88540.49,86944.195,88209.578125,88209.578125,88209.578125
6_1405_14,2023-11-01,88328.38787401983,71524.4587819247,88328.38787401983,43851.56640625,79867.17014053675,210379.62868294926,-227879.2314200495,88328.387873993,84888.46442691691,247700.58008523856,84888.46442691691,235315.5510809766,84888.46442691691,87780.6953788495,88328.3878739929,88228.2,89011.484,101837.54,66299.51,108227.02,108892.25,85416.125,92232.81,118465.65,125151.77,88932.805,88420.39,86485.59,88209.578125,88209.578125,79388.625
6_1405_14,2023-12-01,88328.38787401983,64362.32416336018,88328.38787401983,28556.884765625,76361.00292497114,224623.3895972209,-227512.52356747392,88328.387873993,84888.46442691691,247700.58008523856,84888.46442691691,235315.5510809766,84888.46442691691,87780.6953788495,88328.3878739929,87795.84,87532.97,104311.664,79141.28,116474.17,118055.86,93819.83,102839.37,132523.16,137843.72,99116.45,88274.484,85650.03,88209.578125,88209.578125,70567.671875
